Pillar,Dimension,Indicator,Size,Info
Pillar 4: Data Sources,Dimension 4.3: Geospatial Data,Indicator 4.3.1: Geospatial data available at 1st Admin Level,1,"Indicator ID: SPI.D4.3.GEO.first.admin.level
Scoring: Our source for this indicator is Open Data Watch.  Indicator is whether data available at first administrative data level.  Scores range from 0-100.  For more details, consult the ODIN technical documentation.
Abbreviation: GEO.first.admin.level
Indicator data availability at sub-national levels"
Pillar 4: Data Sources,Dimension 4.4: Private/citizen generated data,Indicator 4.4.1: NSO Website,1,"Indicator ID: SPI.D4.4.SOPC
Scoring: 
Abbreviation: SOPC
New indicator based on references to private/citizen generated data in metadata relating to content on NSO website"
Pillar 5: Data Infrastructure,Dimension 5.1: Legislation and governance,Indicator 5.1.1: Legislation Indicator based on PARIS21 indicators on SDG 17.18.2,1,"Indicator ID: SPI.D5.1.DILG
Scoring: Scores is 1 if the country has a national statistical legislation compliant with United Nations Fundamental Principles of Statistics. Scores of 0 or scores with missing values are treated the same (both given a score of zero).
Abbreviation: DILG
Based on PARIS21 indicators on SDG 17.18.2 (national statistical legislation compliance with UN Fundamental Principles of Official Statistics), existence of National Statistical Council, national statistical strategy generation, national statistical plan. Also include some other legislative aspects that foster good use of statistics eg freedom of information, privacy/transparency, good governance (eg free and fair elections)."
Pillar 5: Data Infrastructure,Dimension 5.2: Standards and Methods,Indicator 5.2.7: Central government accounting status,1,"Indicator ID: SPI.D5.2.CGOV
Scoring: 1 Point. Consolidated central government accounting follows noncash recording basis. 0.5 Points. Consolidated central government accounting follows cash recording basis. 0 Points. Otherwise
Abbreviation: CGOV
Government finance accounting status refers to the accounting basis for reporting central government financial data.  For many countries’ government finance data, have been consolidated into one set of accounts capturing all the central government’s fiscal activities and following noncash recording basis.  Budgetary central government accounts do not necessarily include all central government units, the picture they provide of central government activities is usually incomplete."
Pillar 5: Data Infrastructure,Dimension 5.2: Standards and Methods,Indicator 5.2.3: Classification of national industry,1,"Indicator ID: SPI.D5.2.CNIN
Scoring: 1 Point. Latest version is adopted (ISIC Rev 4, NACE Rev 2 or a compatible classification). 0.5 Points. Previous version is used (ISIC Rev 3, NACE Rev 1 or a compatible classification). 0 Points. Otherwise
Abbreviation: CNIN
The industrial production data are compiled using the International Standard Industrial Classification of All Economic Activities (ISIC) Rev.4 and Statistical Classification of Economic Activities in the European Community (NACE) Rev.2.  ISIC Rev.4 is a standard classification of economic activities arranged so that entities can be classified per the activity they carry out using criteria such as input, output and use of the products produced, more emphasis has been given to the character of the production process in defining and delineating ISIC classes for international comparability.  The manual and classification have changed to cover the complete scope of industrial production, employment, and GDP and other statistical areas."
Pillar 5: Data Infrastructure,Dimension 5.2: Standards and Methods,Indicator 5.2.4: CPI base year,1,"Indicator ID: SPI.D5.2.CPIBY
Scoring: 1 Point. Annual chain linking. 0.5 Points. Base year in last 10 years. 0 points. Otherwise
Abbreviation: CPIBY
Consumer Price Index serves as indicators of inflation and reflects changes in the cost of acquiring a fixed basket of goods and services by the average consumer.  Weights are usually derived from consumer expenditure surveys and the CPI base year refers to the year the weights were derived.  It is recommended that the base year be changed periodically to reflect changes in expenditure structure."
Pillar 5: Data Infrastructure,Dimension 5.2: Standards and Methods,Indicator 5.2.6: Classification of status of employment,1,"Indicator ID: SPI.D5.2.EMPL
Scoring: 1 Point. Follow International Labour Organization, International Classification of Status in Employment (ICSE-93) or 2012 North American Industry Classification System (NAICS). 0 Points Otherwise.
Abbreviation: EMPL
Classification of status of employment refers to employment data that are compiled using the current international standard International Classification of Status in Employment (ISCE-93).  It classifies jobs with respect to the type of explicit or implicit contract of employment between the job holder and the economic unit in which he or she is employed.  Therefore, it aims to provide the basis for production of internationally comparable statistics on the employment relationship, including the distinction between salaried employment and self-employment."
Pillar 5: Data Infrastructure,Dimension 5.2: Standards and Methods,Indicator 5.2.8: Compilation of government finance statistics,1,"Indicator ID: SPI.D5.2.FINA
Scoring: 1 Point. Follow the latest Government Finance Statistical Manual (2014)/ ESA2010. 0.5 Points. Previous version is used (GFSM 2001). 0 Points. Otherwise
Abbreviation: FINA
Compilation of government finance statistics refers to the Government Finance Statistics Manual (GFSM) in use for compiling the data.  It provides guidelines on the institutional structure of governments and the presentation of fiscal data in a format similar to business accounting with a balance sheet and income statement plus guidelines on the treatment of exchange rate and other valuation adjustments.  The latest manual GFSM2014 is harmonized with the SNA2008."
Pillar 5: Data Infrastructure,Dimension 5.2: Standards and Methods,Indicator 5.2.10: Business process,1,"Indicator ID: SPI.D5.2.GSBP
Scoring: 1 Point. GSBPM is in use. 0 Points. Otherwise
Abbreviation: GSBP
The Generic Statistical Business Process Model (GSBPM) aims to describe statistics production in a general and process-oriented way.  It is used both within and between statistical offices as a common basis for work with statistics production in different ways, such as quality, efficiency, standardization, and process-orientation.  It is used for all types of surveys, and """"""""business"""""""" is not related to """"""""business statistics"""""""" but refers to the statistical office, simply expressed."
Pillar 5: Data Infrastructure,Dimension 5.2: Standards and Methods,Indicator 5.2.5: Classification of household consumption,1,"Indicator ID: SPI.D5.2.HOUS
Scoring: 1 Point. Follow Classification of Individual Consumption by Purpose (COICOP). 0 Points. Otherwise
Abbreviation: HOUS
Classification of Individual Consumption According to Purpose (COICOP) is used in household budget surveys, consumer price indices and international comparisons of gross domestic product (GDP) and its component expenditures.  Although COICOP is not strictly linked to any particular model of consumer behavior, the classification is designed to broadly reflect differences in income elasticities.  It is an integral part of the SNA1993 and more detailed subdivision of the classes provide comparability between countries and between statistics in these different areas."
Pillar 5: Data Infrastructure,Dimension 5.2: Standards and Methods,Indicator 5.2.9: Compilation of monetary and financial statistics,1,"Indicator ID: SPI.D5.2.MONY
Scoring: 1 Point. Follow the latest Monetary and Finance Statistics Manual (2000) or Monetary and Finance Statistics: Compilation Guide (2008/2016). 0 Points. Otherwise
Abbreviation: MONY
Compilation of monetary and financial statistics refers to the Monetary and Financial Statistics Manual (MFSM) in use.  It covers concepts, definitions, classifications of financial instruments and sectors, and accounting rules, and provides a comprehensive analytic framework for monetary and financial planning and policy determination.  The Monetary and Finance Statistics: Compilation Guide (2008) provides detailed guidelines for the compilation of monetary and financial statistics in addition to MFSM."
Pillar 5: Data Infrastructure,Dimension 5.2: Standards and Methods,Indicator 5.2.2: National Accounts base year,1,"Indicator ID: SPI.D5.2.NABY
Scoring: 1 point for chained price, 0.5 for reference period within past 10 years. 0 points otherwise.
Abbreviation: NABY
National accounts base year is the year used as the base period for constant price calculations in the country’s national accounts.  It is recommended that the base year of constant price estimates be changed periodically to reflect changes in economic structure and relative prices."
Pillar 5: Data Infrastructure,Dimension 5.2: Standards and Methods,Indicator 5.2.1: System of national accounts in use,1,"Indicator ID: SPI.D5.2.SNAU
Scoring: Scoring: 1 point for using SNA2008 or ESA 2010, 0.5 points for using SNA 1993 or ESA 1995. 0 points otherwise
Abbreviation: SNAU
The national accounts data are compiled using the concepts, definitions, framework, and methodology of the System of National Account 2008 (SNA2008) or European System of National and Regional Accounts (ESA 2010).  The manual has evolved to meet the changing economic structure, to follow systematic accounting and ensure international compatibility."
Pillar 5: Data Infrastructure,Dimension 5.3: Skills,Indicator 5.3.1: PARIS21 indicator on data literacy,1,"Indicator ID: SPI.D5.3.DISK
Scoring: The source is Paris 21.  Score ranges from 0 to 100.  Following the PARIS21 scoring, the score is the weighted sum of each of the four components’ scores, whose relative weight is reported in brackets: i) Basic Consideration (25%); ii) Diagnosis and quantification (24%); iii) Statistical Analysis (22%); iv) Disaggregation (29%).
Abbreviation: DISK
PARIS21 indicators such as statistical society presence and data literacy. PARIS21 may also have material on Internal skills capacity and numbers of statistically qualified people in the country."
Pillar 5: Data Infrastructure,Dimension 5.4: Partnerships,Indicator 5.4.1: Partnerships,1,"Indicator ID: SPI.D5.4.DIPN
Scoring: 
Abbreviation: DIPN
New indicator based on textual analysis of NSS reports/websites for references to partner organisations."
Pillar 5: Data Infrastructure,Dimension 5.5: Finance,Indicator 5.5.1: Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1,1,"Indicator ID: SPI.D5.5.DIFI
Scoring: Scores is 1 if the country has a national statistical plan that is fully funded and under implementation. Scores of 0 or scores with missing values are treated the same (both given a score of zero).
Abbreviation: DIFI
Indicator based on PARIS21 SDG indicators (SDG 17.18.3 (national statistical plan that is fully funded and under implementation) and SDG 17.19.1 (value of resources made available to strengthen statistical capacity)). Could also incorporate indicator of NSO budget as a percentage of GDP."
